"post_title","categories","post_name","post_author","post_excerpt","post_date","post_modified"
"Ai nhớ ngàn năm một ngón tay","Sách, thơ, phim,thơ - tản văn","ai-nho-ngan-nam-mot-ngon-tay","Lý Minh Nhật",,"2020-06-20 22:51:50","2020-06-30 01:32:48"
"Hiện tượng đồng âm khác nghĩa, đồng nghĩa khác âm, và đảo nghĩa trong quá trình hình thành niềm tin: 2","Đạo, ngữ dụng, tâm lý học nhận thức,nét nghĩa ẩn,tâm lý học nhận thức,Hiện tượng đồng âm khác nghĩa","hien-tuong-dong-am-khac-nghia-2","Lý Minh Nhật",,"2020-06-21 16:48:15","2021-05-08 15:34:01"
"Naïve realism và người sử dụng logic","Tự nhiên, hệ thống, khoa học, quyền uy","naive-realism-va-nguoi-su-dung-logic","Lý Minh Nhật",,"2020-06-30 01:09:06","2021-02-24 15:10:27"
"Chọn làm điều đúng hay chọn làm điều tốt?","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,sợ hãi,thay đổi góc nhìn,lãng mạn","chon-lam-dieu-dung-hay-chon-lam-dieu-tot","Lý Minh Nhật",,"2020-07-16 00:56:12","2021-03-09 00:53:53"
"Bạn ngoen gửi: Chuyện Lão Ong","Dấu vết thiên di,thơ - tản văn,Cái đẹp, cảm xúc, ham muốn, đam mê","ban-ngoen-gui-chuyen-lao-ong","Lý Minh Nhật",,"2020-07-19 23:52:41","2021-02-24 15:08:00"
"Lời mời khơi dậy sự hồn nhiên và lòng dũng cảm ở một con người","Meta,Dấu vết thiên di","loi-moi-khoi-day-su-hon-nhien-va-long-dung-cam-o-mot-con-nguoi","Lý Minh Nhật","Liệu một con đường để mọi người cùng hợp lực xóa bỏ sự bất lực của bạn mình mà không quá gian lao có tồn tại không?","2020-07-22 16:27:40","2021-08-06 19:25:03"
"Não của bạn đã ngăn bạn xem việc biến đổi khí hậu là nghiêm trọng như thế nào?","Tự nhiên, hệ thống, khoa học, quyền uy","nao-cua-ban-da-ngan-ban-xem-viec-bien-doi-khi-hau-la-nghiem-trong-nhu-the-nao","Lý Minh Nhật",,"2020-07-22 18:13:36","2021-09-24 22:31:44"
"Lời mời phản biện và hợp tác nghiên cứu","Meta","loi-moi-phan-bien-va-hop-tac-nghien-cuu","Lý Minh Nhật",,"2020-07-30 14:35:10","2021-12-21 16:17:52"
"Bản kế hoạch hành động dự án Quả Cầu","Meta,Kế hoạch cũ","ban-ke-hoach-hanh-dong-du-an-qua-cau","Lý Minh Nhật",,"2020-08-14 19:36:59","2023-07-03 20:59:11"
"Giải đáp chất vấn","Meta","giai-dap-chat-van","Lý Minh Nhật",,"2020-08-18 18:44:54","2022-03-17 16:33:10"
"Thay đổi niềm tin của người có niềm tin tiêu cực: rào cản và giải pháp","Bất lực, bạo hành, tự quyết, can thiệp,sự bất lực học được,can thiệp","thay-doi-niem-tin-cua-nguoi-co-niem-tin-tieu-cuc","Lý Minh Nhật",,"2020-08-27 21:08:00","2021-05-12 14:35:43"
"Bạn nghĩ gì về Quả Cầu?","Meta,Khảo sát","ban-nghi-gi-ve-qua-cau","Lý Minh Nhật",,"2020-09-06 12:23:11","2021-05-22 01:43:19"
"Tại sao những sự bất tiện nhỏ, chứ không phải bức tường lớn, lại là thứ định hướng hành vi trên mạng?","tâm lý học nhận thức,Tự nhiên, hệ thống, khoa học, quyền uy","dinh-huong-hanh-vi-tren-mang","Lý Minh Nhật",,"2020-09-10 23:10:52","2021-02-24 22:07:48"
"Một quan điểm về loại bỏ từ Hán Việt trong tiếng Việt","ngôn ngữ,dịch,Dịch thuật","loai-bo-tu-han-viet","Lý Minh Nhật",,"2020-09-16 23:06:40","2024-02-18 23:05:05"
"Thông tin ủng hộ","Meta","ung-ho","Lý Minh Nhật",,"2020-10-09 16:12:21","2022-03-19 17:14:36"
"Cá trích đỏ trong toán học","Đạo, ngữ dụng, tâm lý học nhận thức,ngôn ngữ,nét nghĩa ẩn,toán","ca-trich-do-trong-toan-hoc","Lý Minh Nhật",,"2020-10-15 14:01:39","2021-09-11 00:31:38"
"Ý tưởng nền tảng dịch thuật ngữ","Tài nguyên khác,dịch,nét nghĩa ẩn,Dịch thuật","y-tuong-nen-tang-dich-thuat-ngu","Lý Minh Nhật",,"2020-10-17 15:21:38","2021-12-02 16:07:39"
"Độc giả Quả Cầu nói gì?","Meta","doc-gia-qua-cau-noi-gi","Lý Minh Nhật",,"2020-11-02 18:22:22","2021-06-18 01:51:46"
"Clip về bạo hành, bắt nạt, và quấy rối","Bất lực, bạo hành, tự quyết, can thiệp,bạo hành","clip-ve-bao-hanh-bat-nat-va-quay-roi","Lý Minh Nhật",,"2020-11-05 00:48:02","2021-02-23 00:39:45"
"Tại sao nói tự nhiên giao cho con người công việc phá hủy nó? (nháp)","Tự nhiên, hệ thống, khoa học, quyền uy,triết học khoa học","tai-sao-noi-tu-nhien-giao-cho-con-nguoi-cong-viec-pha-huy-no","Lý Minh Nhật",,"2020-11-08 13:26:21","2021-02-23 23:29:53"
"Liệu sự thao túng là luôn sai?","Bất lực, bạo hành, tự quyết, can thiệp,tự trị,bạo hành","lieu-su-thao-tung-la-luon-sai","Lý Minh Nhật",,"2020-12-01 13:51:33","2021-02-23 23:29:42"
"Liệu sự yêu cầu về sự đồng thuận có thực sự có cơ sở?","Bất lực, bạo hành, tự quyết, can thiệp,tự trị","lieu-su-yeu-cau-ve-su-dong-thuan-co-thuc-su-co-co-so","Lý Minh Nhật",,"2020-12-01 14:30:26","2021-02-23 23:29:33"
"Tại sao mong muốn của một người không nhất thiết là sự tự chủ của người đó?","Bất lực, bạo hành, tự quyết, can thiệp,tự trị","khi-nao-thi-mong-muon-cua-mot-nguoi-la-su-tu-chu-cua-nguoi-do","Lý Minh Nhật",,"2020-12-01 15:32:35","2021-02-23 23:29:20"
"Hỗ trợ người gây bạo hành: liệu ta có đang bỏ qua một nguồn lực quan trọng nhất?","Bài nổi bật,tâm lý học trị liệu,từ bi,Bất lực, bạo hành, tự quyết, can thiệp,bạo hành","ho-tro-nguoi-gay-bao-hanh","Lý Minh Nhật",,"2020-12-13 20:47:34","2021-07-14 11:56:39"
"Khi nào thì sự từ chối trợ giúp của một người không có hiệu lực?","nét nghĩa ẩn,tâm lý học nhận thức,Bất lực, bạo hành, tự quyết, can thiệp,bạo hành","khi-nao-thi-su-tu-choi-tro-giup-cua-mot-nguoi-khong-co-hieu-luc","Lý Minh Nhật",,"2020-12-13 21:23:38","2021-02-23 00:38:04"
"Hiện tượng đồng âm khác nghĩa, đồng nghĩa khác âm, và đảo nghĩa trong quá trình hình thành niềm tin","nét nghĩa ẩn,tâm lý học nhận thức,Hiện tượng đồng âm khác nghĩa","hien-tuong-dong-am-khac-nghia-1","Lý Minh Nhật",,"2020-12-30 19:13:47","2021-05-28 01:01:27"
"Hiện tượng đồng âm khác nghĩa, đồng nghĩa khác âm, và đảo nghĩa trong quá trình hình thành niềm tin: 3","Đạo, ngữ dụng, tâm lý học nhận thức,nét nghĩa ẩn,tâm lý học nhận thức,Hiện tượng đồng âm khác nghĩa","hien-tuong-dong-am-khac-nghia-3","Lý Minh Nhật",,"2020-12-30 20:18:12","2021-05-13 17:22:09"
"Bản câu hỏi dành cho người muốn thay đổi quan niệm của bạn mình","tự trị,Dự án,Xây dựng mạng lưới hỗ trợ người có niềm tin tiêu cực","ban-cau-hoi-danh-cho-nguoi-muon-thay-doi-quan-niem-cua-ban-minh","Lý Minh Nhật",,"2021-01-20 00:33:21","2021-07-14 17:57:14"
"Cảm ơn bạn đã ủng hộ Quả Cầu","Uncategorized","cam-on-ban-da-ung-ho-qua-cau","Lý Minh Nhật",,"2020-01-22 18:47:00","2021-01-22 18:49:25"
"Lời mời cùng dịch các bài viết về tự trị","dịch,thay đổi góc nhìn,Bất lực, bạo hành, tự quyết, can thiệp,tự trị,bạo hành","loi-moi-cung-dich-cac-bai-viet-ve-tu-tri","Lý Minh Nhật",,"2021-02-21 09:05:29","2021-08-12 00:52:48"
"Là dơi thì như thế nào?","dịch,tâm lý học nhận thức,thay đổi góc nhìn,vật lý,Hiện tượng học, khoa học nhận thức, vật lý luận","la-doi-thi-nhu-the-nao","Lý Minh Nhật",,"2021-02-21 17:04:34","2021-02-21 19:38:57"
"Lý thuyết về góc nhìn","hiểu lầm,nét nghĩa ẩn,thay đổi góc nhìn,Hiện tượng học, khoa học nhận thức, vật lý luận,hiện tượng học","ly-thuyet-ve-goc-nhin","Lý Minh Nhật",,"2021-02-21 20:00:25","2021-02-24 22:41:22"
"Test","Uncategorized","test","Lý Minh Nhật",,"2019-02-24 18:16:00","2021-03-02 17:48:52"
"Những hashtag chính trị như #MeToo hay #BlackLivesMatter có thể khiến mọi người ít tin vào tin tức hơn","dịch,cảm xúc,Tự nhiên, hệ thống, khoa học, quyền uy,đạo đức","hashtag-khien-moi-nguoi-it-tin-vao-tin-tuc-hon","Lý Minh Nhật",,"2021-03-22 16:09:50","2021-04-09 00:25:37"
"Khảo sát thành viên nhóm <em>Nghiên cứu triết học phương Đông</em>","Meta,Đạo,Phật,Khảo sát","khao-sat-thanh-vien-nhom-nghien-cuu-triet-hoc-phuong-dong","Lý Minh Nhật",,"2021-04-01 01:16:54","2021-05-27 22:54:09"
"Toán học còn có nhiều thứ hơn là mỗi sự chặt chẽ và chứng minh","Đạo, ngữ dụng, tâm lý học nhận thức,dịch,tâm lý học nhận thức,thay đổi góc nhìn,toán","toan-hoc-con-co-nhieu-thu-hon-la-moi-su-chat-che-va-chung-minh","Lý Minh Nhật",,"2021-04-08 16:32:44","2021-04-28 14:55:31"
"Những câu hỏi về nữ quyền","ngôn ngữ,hiểu lầm,Tự nhiên, hệ thống, khoa học, quyền uy,tự trị,nữ quyền","nhung-cau-hoi-ve-nu-quyen","Lý Minh Nhật",,"2021-04-09 15:22:20","2021-10-16 14:54:09"
"Nước cờ thông minh: chúng ta học được nhiều hơn bằng việc tin tưởng hơn là không tin","Tò mò, lạc quan, tin tưởng, thong thả,phẩm hạnh","chung-ta-hoc-duoc-nhieu-hon-bang-viec-tin-tuong-hon-la-khong-tin","Lý Minh Nhật",,"2021-04-14 16:17:47","2022-03-06 22:19:11"
"Tổng hợp một số nghịch lý","hiểu lầm,tâm lý học nhận thức,thay đổi góc nhìn,Hiện tượng học, khoa học nhận thức, vật lý luận,nghịch lý","tong-hop-mot-so-nghich-ly","Lý Minh Nhật",,"2021-04-15 18:21:52","2021-04-15 18:31:53"
"Câu chuyện <em>Người mù sờ voi</em>: những góc nhìn chưa từng có","thay đổi góc nhìn,vật lý,Hiện tượng học, khoa học nhận thức, vật lý luận,hiện tượng học,khoa học nhận thức","nguoi-mu-so-voi","Lý Minh Nhật",,"2021-04-17 16:31:39","2022-12-22 21:12:59"
"Hoàng Lan","Sách, thơ, phim,Dấu vết thiên di,thơ - tản văn,bất lực học được","hoang-lan","Lý Minh Nhật",,"2021-04-28 00:04:00","2021-04-28 00:24:42"
"Mạng lưới người thân, bạn bè của người có niềm tin tiêu cực","tâm lý học trị liệu,sự bất lực học được,Xây dựng mạng lưới hỗ trợ người có niềm tin tiêu cực","mang-luoi-nguoi-than-ban-be-nguoi-co-niem-tin-tieu-cuc","Lý Minh Nhật",,"2021-05-01 18:48:15","2022-01-01 23:00:53"
"Thông tin liên hệ","Meta","lien-he","Lý Minh Nhật",,"2021-05-18 14:38:51","2022-03-21 00:14:12"
"Khảo sát quan điểm về sự tác động","can thiệp,Khảo sát","khao-sat-quan-diem-ve-su-tac-dong","Lý Minh Nhật",,"2020-05-21 22:30:00","2021-07-15 19:29:49"
"Phiếu đăng ký tham gia <em>Mạng lưới người thân, bạn bè của người có niềm tin tiêu cực</em>","Meta,can thiệp,Khảo sát,Dự án,Xây dựng mạng lưới hỗ trợ người có niềm tin tiêu cực","dang-ky-tham-gia-mang-luoi","Lý Minh Nhật",,"2020-05-21 22:33:00","2021-09-04 17:35:33"
"Khảo sát người tu tập Phật giáo","hiểu lầm,từ bi,Khảo sát","khao-sat-nguoi-tu-tap-phat-giao","Lý Minh Nhật",,"2020-05-22 15:42:00","2021-09-10 17:11:40"
"Nhờ người thứ 3 tác động người có niềm tin tiêu cực","Bất lực, bạo hành, tự quyết, can thiệp,can thiệp","nho-nguoi-thu-3-tac-dong-nguoi-co-niem-tin-tieu-cuc","Lý Minh Nhật",,"2021-05-27 18:41:47","2021-08-06 19:44:44"
"4 câu hỏi để giúp người khác thay đổi tốt hơn (Phỏng vấn tạo động lực)","tâm lý học trị liệu,tò mò,Bất lực, bạo hành, tự quyết, can thiệp,tự trị,can thiệp,Tò mò, lạc quan, tin tưởng, thong thả","phong-van-tao-dong-luc","Lý Minh Nhật",,"2021-06-05 10:49:49","2021-08-06 18:10:19"
"Chấp thuận sau khi được giải thích","Bất lực, bạo hành, tự quyết, can thiệp,can thiệp","chap-thuan-sau-khi-duoc-giai-thich","Lý Minh Nhật",,"2021-06-11 15:57:30","2021-08-15 21:13:25"
"Các câu hỏi thường gặp","can thiệp,Xây dựng mạng lưới hỗ trợ người có niềm tin tiêu cực","cac-cau-hoi-thuong-gap","Lý Minh Nhật",,"2021-06-16 23:31:41","2022-08-14 20:05:55"
"Lộ trình thay đổi người có niềm tin tiêu cực","can thiệp,Xây dựng mạng lưới hỗ trợ người có niềm tin tiêu cực","lo-trinh-thay-doi-nguoi-co-niem-tin-tieu-cuc","Lý Minh Nhật",,"2021-06-27 15:00:00","2022-04-10 23:24:13"
"Giới thiệu người sáng lập","Meta","gioi-thieu-nguoi-sang-lap","Lý Minh Nhật",,"2021-08-04 18:16:45","2022-06-08 01:46:09"
"Sự tối ưu hoá trong vũ trụ","Đạo,vật lý,Hiện tượng học, khoa học nhận thức, vật lý luận,toán","su-toi-uu-hoa-trong-vu-tru","Lý Minh Nhật","""Tự nhiên không làm gì vô ích"" – Aristotle","2021-08-04 18:04:11","2021-08-04 18:06:27"
"Né tránh bằng tâm linh (spiritual bypassing)","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Phật,sợ hãi,tâm lý học trị liệu","ne-tranh-bang-tam-linh-spiritual-bypassing","Lý Minh Nhật",,"2021-08-06 23:09:34","2021-08-06 23:09:40"
"Về nguỵ biện","hiểu lầm,Tò mò, lạc quan, tin tưởng, thong thả,bài tác giả khác","ve-nguy-bien","Lý Minh Nhật",,"2021-08-09 16:02:13","2021-08-09 16:37:26"
"Sự riêng tư","Bất lực, bạo hành, tự quyết, can thiệp,tự trị,đạo đức,phẩm hạnh","su-rieng-tu","Lý Minh Nhật",,"2021-08-12 00:45:52","2021-08-15 21:19:02"
"Bộ quy tắc đạo đức cho thành viên <i>Mạng lưới người thân, bạn bè của người có niềm tin tiêu cực</i>","can thiệp,Dự án,Xây dựng mạng lưới hỗ trợ người có niềm tin tiêu cực","bo-quy-tac-dao-duc","Lý Minh Nhật",,"2021-09-03 18:32:10","2021-09-04 17:44:21"
"Tên miền có dấu?","ngôn ngữ,Tò mò, lạc quan, tin tưởng, thong thả","ten-mien-co-dau","Lý Minh Nhật",,"2021-09-08 14:45:08","2021-12-14 22:47:41"
"Sao mà hỏi lắm thế?","Tò mò, lạc quan, tin tưởng, thong thả","sao-ma-hoi-lam-the","Lý Minh Nhật",,"2021-09-20 01:20:08","2022-08-05 21:01:36"
"""The best way to learn vocabulary is from context."" Why is that sometime not true?","ngôn ngữ,tâm lý học nhận thức,Học tiếng Anh","learn-vocab-from-context","Lý Minh Nhật",,"2021-10-24 17:06:38","2022-07-20 00:44:36"
"Phân tích một mạng lưới 100+ niềm tin","tâm lý học nhận thức,thay đổi góc nhìn,Mạng lưới niềm tin và mạng lưới câu hỏi liên ngành,niềm tin,mạng lưới","phan-tich-mot-mang-luoi-100-niem-tin","Lý Minh Nhật","Có những niềm tin nào củng cố lẫn nhau?","2022-01-01 20:23:46","2022-01-24 17:06:02"
"test","Uncategorized","test-2","Lý Minh Nhật",,"2021-01-07 15:47:54","2022-01-23 22:12:54"
,"Uncategorized","6788-2","Lý Minh Nhật",,"2021-01-07 16:26:00","2022-01-07 17:52:15"
"Phân tích một mạng lưới 100+ niềm tin (phần 2)","hiểu lầm,nét nghĩa ẩn,tâm lý học nhận thức,thay đổi góc nhìn,Mạng lưới niềm tin và mạng lưới câu hỏi liên ngành","phan-tich-mot-mang-luoi-100-niem-tin-phan-2","Lý Minh Nhật","Phần 2: Mâu thuẫn bên trong mạng lưới","2022-01-22 16:16:20","2022-01-24 15:58:45"
"Danh sách các niềm tin trong đồ thị mạng lưới niềm tin","Dự án,Mạng lưới niềm tin và mạng lưới câu hỏi liên ngành,niềm tin","danh-sach-cac-niem-tin-trong-do-thi-mang-luoi-niem-tin","Lý Minh Nhật",,"2022-01-24 14:47:51","2022-01-24 16:46:45"
"Obsidian, cây vấn đề, hệ thống quản lý công việc, và nỗi sợ chết","Tài nguyên khác,Làm việc hiệu quả","obsidian","Lý Minh Nhật",,"2022-03-15 01:54:19","2022-04-12 18:20:26"
"Cửa hàng","Uncategorized","cua-hang","Lý Minh Nhật",,"2021-03-20 21:40:00","2022-03-21 00:20:37"
"Các cấp độ tham gia Quả Cầu","Meta,Kế hoạch cũ","cac-cap-do-tham-gia-qua-cau","Lý Minh Nhật",,"2022-04-11 17:11:14","2023-07-03 21:03:41"
"Vấn đề Quả Cầu","Meta,độc giả phản hồi","van-de-qua-cau","Lý Minh Nhật",,"2022-04-21 17:05:23","2022-04-21 17:33:29"
"Bản câu hỏi dành cho việc xây dựng nhóm người thân bạn bè của người có niềm tin tiêu cực","Dự án,Xây dựng mạng lưới hỗ trợ người có niềm tin tiêu cực","ban-cau-hoi-danh-cho-viec-xay-dung-nhom-nguoi-than-ban-be-cua-nguoi-co-niem-tin-tieu-cuc","Lý Minh Nhật",,"2022-05-06 17:04:49","2022-05-06 17:06:14"
"Về cặp phạm trù “cái phổ quát - cái đặc thù - cái đơn nhất” trong phép biện chứng của Hegel","Hiện tượng học, khoa học nhận thức, vật lý luận,hiện tượng học","ve-cap-pham-tru-cai-pho-quat-cai-dac-thu-cai-don-nhat-trong-phep-bien-chung-cua-hegel","Lý Minh Nhật",,"2021-05-21 16:40:00","2022-05-22 01:03:25"
"Mẹo tóm tắt các bài viết đọc chẳng hiểu gì hết","Hiện tượng học, khoa học nhận thức, vật lý luận","meo-tom-tat-cac-bai-viet-doc-chang-hieu-gi-het","Lý Minh Nhật",,"2022-05-22 14:16:33","2022-05-22 15:22:51"
"Hợp nhất hai cách nhìn về thông tin","dịch,vật lý,Hiện tượng học, khoa học nhận thức, vật lý luận","hop-nhat-hai-cach-nhin-ve-thong-tin","Lý Minh Nhật",,"2022-06-14 16:39:27","2022-06-19 20:53:46"
"Một đám mây chim sáo","Meta,Tự nhiên, hệ thống, khoa học, quyền uy,khoa học phức hợp","mot-dam-may-chim-sao","Lý Minh Nhật",,"2022-08-09 15:56:55","2022-09-14 23:23:44"
"Một đám mây chim sáo (phần 2)","Meta,Hiện tượng học, khoa học nhận thức, vật lý luận,Dự án,khoa học phức hợp","mot-dam-may-chim-sao-phan-2","Lý Minh Nhật",,"2022-09-14 23:20:45","2022-10-03 22:09:18"
"Truyện ngụ ngôn về những người mong đợi","Meta","truyen-ngu-ngon-ve-nhung-nguoi-mong-doi","Lý Minh Nhật",,"2022-10-03 21:57:51","2022-10-03 22:07:48"
"Chú thích cho bài <em>Người mù sờ voi</em>","thay đổi góc nhìn,vật lý,Hiện tượng học, khoa học nhận thức, vật lý luận,hiện tượng học,khoa học nhận thức","chu-thich-cho-bai-nguoi-mu-so-voi","Lý Minh Nhật",,"2022-12-22 21:15:19","2022-12-22 21:20:35"
"Khảo sát người dùng vault Nhập môn Obsidian","Khảo sát","khao-sat-nguoi-dung-vault-nhap-mon-obsidian","Lý Minh Nhật",,"2023-02-06 16:55:53","2023-02-06 16:56:16"
"Truyện Ngụ Ngôn về Người Nhật – Phần Một (chưa chắc có Phần Hai)","Meta","truyen-ngu-ngon-ve-nguoi-nhat","Lý Minh Nhật",,"2023-03-26 13:13:48","2023-03-26 13:17:32"
"Từ việc hỗ trợ Kendy đến Patreon và tâm lý của con người về tiền","Meta","tu-viec-ho-tro-kendy-den-patreon-va-tam-ly-cua-con-nguoi-ve-tien","Lý Minh Nhật",,"2023-06-08 00:05:05","2023-06-08 00:27:16"
"Câu hỏi thường gặp về mô hình tổ chức chim sáo","Uncategorized,Meta,Hiện tượng học, khoa học nhận thức, vật lý luận","cau-hoi-thuong-gap-ve-mo-hinh-to-chuc-chim-sao","Lý Minh Nhật",,"2023-06-15 01:37:29","2023-06-20 17:01:32"
"Phiếu khảo sát sau buổi nói chuyện ""Một đám mây chim sáo""","Khảo sát","phieu-khao-sat-sau-buoi-noi-chuyen-mot-dam-may-chim-sao","Lý Minh Nhật",,"2023-06-20 17:36:49","2023-06-20 17:37:00"
"Từ cách một từ được đổ nghĩa đến việc dịch khái niệm philanthropy sang tiếng Việt","Đạo, ngữ dụng, tâm lý học nhận thức,ngôn ngữ,dịch,nét nghĩa ẩn","tu-cach-mot-tu-duoc-do-nghia-den-viec-dich-khai-niem-philanthropy-sang-tieng-viet","Lý Minh Nhật",,"2023-06-23 15:20:06","2023-06-23 20:33:54"
"Các buổi chia sẻ kỹ năng miễn phí với nhau","Dự án","cac-buoi-chia-se-ky-nang-mien-phi-voi-nhau","Lý Minh Nhật",,"2023-06-27 17:22:15","2023-06-27 22:02:32"
"Bộ cài đặt Vùng đất Quả Cầu","Meta","bo-cai-dat-vung-dat-qua-cau","Lý Minh Nhật",,"2023-07-03 21:17:25","2023-07-03 21:20:01"
"Khảo sát nhu cầu phân loại tự động và lập trình","Khảo sát","khao-sat-nhu-cau-phan-loai-tu-dong-va-lap-trinh","Lý Minh Nhật",,"2023-11-08 19:39:34","2023-11-08 21:17:42"
"Bàn làm việc Google Calendar","Các buổi đáp ứng nhu cầu học lập trình","ban-lam-viec-google-calendar","Lý Minh Nhật",,"2023-12-29 15:40:45","2023-12-31 12:59:13"
"Các buổi đáp ứng nhu cầu học cách sử dụng công cụ và tư duy lập trình cho nhu cầu công việc","Các buổi đáp ứng nhu cầu học lập trình","cac-buoi-dap-ung-nhu-cau-hoc-cach-su-dung-cong-cu-va-tu-duy-lap-trinh-cho-nhu-cau-ca-nhan-hoac-nghien-cuu","Lý Minh Nhật",,"2023-12-29 21:15:32","2024-03-02 23:10:36"
"Khi nào thì chiến lược định giá ""trả tuỳ tâm"" đạt được sự bền vững?","Các buổi đáp ứng nhu cầu học lập trình","khi-nao-thi-chien-luoc-dinh-gia-tra-tuy-tam-dat-duoc-su-ben-vung","Lý Minh Nhật",,"2023-12-31 12:47:50","2023-12-31 19:11:55"
"Tích hợp Trấn Kỳ vào hệ thống của bạn","Các buổi đáp ứng nhu cầu học lập trình","tich-hop-tran-ky-vao-he-thong-cua-ban","Lý Minh Nhật","Lấy mã nguồn Trấn Kỳ và tham gia các buổi hướng dẫn","2024-02-02 17:25:32","2024-02-20 02:31:57"
"Kiếm tiền từ Trấn Kỳ","Các buổi đáp ứng nhu cầu học lập trình","kiem-tien-tu-tran-ky","Lý Minh Nhật",,"2024-02-14 17:41:22","2024-02-14 17:41:33"
"tesst","Uncategorized","tesst","Lý Minh Nhật",,"2024-02-25 20:28:40","2024-02-25 20:28:40"
"Khảo sát nhu cầu học lập trình","Khảo sát,Các buổi đáp ứng nhu cầu học lập trình","khao-sat-nhu-cau-hoc-lap-trinh","Lý Minh Nhật",,"2024-02-25 22:18:17","2024-02-25 23:14:27"
